Controller      Sample    Stable    PitchSettling    YawSettling    PitchBandwidth    YawBandwidth    PitchSteadyStateErrorPercent    YawSteadyStateErrorPercent    YawFromPitchPeak    PitchFromYawPeak    PitchDisturbancePeak    YawDisturbancePeak
    ______________    ______    ______    _____________    ___________    ______________    ____________    ____________________________    __________________________    ________________    ________________    ____________________    __________________

    "mixsyn"             1      true         0.74599          1.0282          5.7252           4.1743                    1.1443                         1.1464               8.5946e-05          0.00013548             0.012617               0.056209     
    "mixsyn"             2      true          3.6201         0.97108           5.761           4.4683                    1.1442                         1.1462               0.00013034          0.00013151             0.013799               0.058145     
    "mixsyn"             3      true           4.191         0.99475           5.804           4.3746                     1.144                         1.1438               0.00019811          0.00028826             0.012755               0.057468     
    "mixsyn"             4      true          3.0175          1.0056          5.8223           4.3126                    1.1439                         1.1426                 0.000189           0.0003614             0.012798                0.05728     
    "mixsyn"             5      true          1.8214          0.9848          4.2552           4.3819                    1.1443                          1.147               0.00017261          0.00021971             0.011918               0.057625     
    "mixsyn"             6      true          1.2602          1.0269          5.7981           4.1892                    1.1441                         1.1452               0.00012909          0.00018186             0.012937               0.056854     
    "mixsyn"             7      true         0.85788         0.95843          4.7189           4.5236                     1.144                         1.1442               0.00017109          0.00021278             0.012744               0.059328     
    "mixsyn"             8      true         0.78506         0.98912          5.5695           4.3743                    1.1441                         1.1454               0.00011344          5.7786e-05             0.013103               0.057021     
    "mixsyn"             9      true         0.71589         0.99719          5.7475           4.3159                     1.144                         1.1438               0.00012758          0.00014002              0.01268                0.05573     
    "mixsyn"            10      true          1.7515           1.002           4.533           4.3116                     1.144                         1.1441               9.6723e-05          0.00014384             0.013587               0.060204     
    "hinfsyn"            1      true         0.74599          1.0282          5.7252           4.1743                    1.1443                         1.1464               8.5946e-05          0.00013548             0.012617               0.056209     
    "hinfsyn"            2      true          3.6201         0.97108           5.761           4.4683                    1.1442                         1.1462               0.00013034          0.00013151             0.013799               0.058145     
    "hinfsyn"            3      true           4.191         0.99475           5.804           4.3746                     1.144                         1.1438               0.00019811          0.00028826             0.012755               0.057468     
    "hinfsyn"            4      true          3.0175          1.0056          5.8223           4.3126                    1.1439                         1.1426                 0.000189           0.0003614             0.012798                0.05728     
    "hinfsyn"            5      true          1.8214          0.9848          4.2552           4.3819                    1.1443                          1.147               0.00017261          0.00021971             0.011918               0.057625     
    "hinfsyn"            6      true          1.2602          1.0269          5.7981           4.1892                    1.1441                         1.1452               0.00012909          0.00018186             0.012937               0.056854     
    "hinfsyn"            7      true         0.85788         0.95843          4.7189           4.5236                     1.144                         1.1442               0.00017109          0.00021278             0.012744               0.059328     
    "hinfsyn"            8      true         0.78506         0.98912          5.5695           4.3743                    1.1441                         1.1454               0.00011344          5.7786e-05             0.013103               0.057021     
    "hinfsyn"            9      true         0.71589         0.99719          5.7475           4.3159                     1.144                         1.1438               0.00012758          0.00014002              0.01268                0.05573     
    "hinfsyn"           10      true          1.7515           1.002           4.533           4.3116                     1.144                         1.1441               9.6723e-05          0.00014384             0.013587               0.060204     
    "PID+comp"           1      true         0.77832         0.95235          5.9408           4.6366                         0                              0               0.00065354           0.0023545             0.012492               0.048693     
