Sample,Type,Success,delta_Jalpha,delta_Jy,delta_Jz,delta_m,delta_l,delta_epsilon_p,delta_epsilon_y,F1_trim,F2_trim,PitchToYawPeak_deg,PitchToYawPeak_percent,YawToPitchPeak_deg,YawToPitchPeak_percent,StaticPitchToYawMisalignment_percent,StaticYawToPitchMisalignment_percent,MaxAbsDeltaF1Cmd_N,MaxAbsDeltaF2Cmd_N,SaturationHit
0,nominal,1,0,0,0,0,0,0,0,0.54092016499684,-0.0144939121380613,0.157091753625652,5.23639178752174,0.247879424662505,4.95758849325011,20.9688690529619,14.6330006127166,0.621290139819518,0.504746423073107,0
1,stress,1,1,-1,1,1,-1,1,-1,0.594959909115006,-0.0111593319023382,0.399979086146262,13.3326362048754,0.265208312907942,5.30416625815884,95.3662336081942,14.607123228843,0.621290139819518,0.503153462918438,0
2,random,1,-0.722096484537496,-0.801453829066657,-0.263707713232546,0.304836455544736,-0.980297232442107,0.485127030164244,-0.993481172309665,0.557302814754638,-0.0104822222098659,0.372774638551103,12.4258212850368,0.232302299063901,4.64604598127801,95.3301893351532,14.5962716538954,0.621290139819518,0.502817080595161,0
3,random,1,-0.389659486712559,-0.272235466156699,-0.330676718047199,-0.0587784702167979,0.629211988841731,0.427665165243359,-0.293861188661332,0.537755853918645,-0.013138839926604,0.0617845639887504,2.05948546629168,0.235785213197066,4.71570426394132,77.7487743919692,14.6311116156568,0.621290139819518,0.504104753464571,0
4,random,1,0.0796371699802345,0.959739706435106,0.385104597687526,0.670781260820043,-0.0312652385032899,0.252320445624948,0.931852680088305,0.577416251879089,-0.0197970594326501,0.696061429549136,23.2020476516379,0.241929310676769,4.83858621353538,97.5689477164753,14.6875211419584,0.621290139819518,0.507294708520685,0
5,random,1,0.79614830645217,0.857059913666078,-0.295488520696105,-0.517499860808198,0.250372967414938,0.132281511634545,-0.28223671258945,0.512903346802203,-0.0125795527624329,0.0689080628130991,2.2969354271033,0.317775550701156,6.35551101402312,76.7945245763955,14.6233117077903,0.621290139819518,0.50380569323712,0
6,random,1,0.0818705938977244,0.152864553073729,-0.0133698017213157,0.26628173085451,-0.963320368963127,-0.63680011242743,-0.744652819140067,0.555122419513507,-0.011551567739689,0.237595905914402,7.91986353048005,0.263100255021126,5.26200510042252,93.076269904272,14.5821722438442,0.621290139819518,0.503363235612445,0
7,random,1,0.214682941306413,0.545872438657174,0.88102363033711,-0.681749113216142,-0.751221627789552,0.504256537504878,-0.274241291307404,0.504070811966275,-0.0123953216797823,0.0680537499118449,2.26845833039483,0.299820747852045,5.9964149570409,76.0914790953012,14.6343084554388,0.621290139819518,0.503710506345095,0
8,random,1,0.806515525870503,0.272201161777711,-0.432699568387418,0.19660657530832,-0.96665247691467,-0.0418603971343743,0.202046395579306,0.551580477218413,-0.015675401048135,0.275006166312108,9.16687221040359,0.310050688159904,6.20101376319808,50.6628260462511,14.6412558980529,0.621290139819518,0.505260790590488,0
9,random,1,-0.686635492881642,-0.497840282354189,-0.281375959426361,-0.498710650933833,0.391076421197771,-0.786082683557691,-0.998997334981646,0.513710784680398,-0.00963952774964048,0.347307224910215,11.5769074970072,0.253253305106265,5.0650661021253,95.3794606918405,14.5683388286546,0.621290139819518,0.502444454419176,0
10,random,1,0.404617160079663,-0.181799240734575,0.625251075139428,0.0666569174964364,0.877647405363288,-0.0277659350177615,0.18215267876177,0.544550151416613,-0.0153885239421734,0.255480744249464,8.51602480831546,0.245113783648091,4.90227567296182,45.044881856115,14.640776770218,0.621290139819518,0.505152519651713,0
11,random,1,0.523990521504601,0.277199983662743,-0.687974412548244,0.62386779080447,-0.162686589269197,-0.949571437070959,-0.76049255897088,0.574415201758551,-0.0118798933511365,0.255365242408334,8.51217474694448,0.255748098883157,5.11496197766314,93.2783409159469,14.5740137724144,0.621290139819518,0.503515116454603,0
12,random,1,0.481348201677575,0.657507606731676,0.766453035625279,-0.69809056648438,0.724173853712805,-0.623833235630466,-0.659621793356272,0.502988162331517,-0.0108105059934087,0.178334069677319,5.94446898924396,0.30059994905293,6.01199898105859,91.8287808158699,14.5860362727116,0.621290139819518,0.502973939926877,0
13,random,1,0.235404736738565,-0.745175745839282,0.690412602049567,-0.107854624163842,-0.559603007581617,0.596724373881507,-0.0559559357211947,0.535169276000964,-0.0140990981594211,0.128899576603381,4.29665255344602,0.272036440347617,5.44072880695234,38.8791185060014,14.6485641809488,0.621290139819518,0.504541757300853,0
14,random,1,0.259892230371065,-0.407466731082723,-0.837494306021738,0.614501237715712,-0.871745821060805,0.512852821919895,-0.566005230284646,0.574136196477192,-0.012771717053797,0.147773726202306,4.92579087341019,0.24744340511376,4.9488681022752,89.9369729242992,14.619261279808,0.621290139819518,0.503884455613208,0
15,random,1,0.243227544672741,-0.545321891576473,0.821686237240145,0.942493873658434,0.0331866023908922,0.116950416943013,0.818593184433922,0.592068757304077,-0.0197603899347257,0.648224285018421,21.6074761672807,0.242001323522633,4.84002647045266,96.5818306665775,14.6765988207653,0.621290139819518,0.507264486450791,0
