Experiment,Description,Success,Elapsed_s,ErrorMessage
01_LQG_nominal_NL,LQG nominale - plant non lineare,1,19.0547775,
02_LQGI_nominal_NL,LQGI nominale - plant non lineare,1,12.1920133,
03_LQG_disturbance_NL,LQG - reiezione disturbo costante,1,11.9576176,
04_LQGI_disturbance_NL,LQGI - reiezione disturbo costante,1,11.7511274,
05_LQGI_linear,LQGI - modello linearizzato,1,11.8007282,
06_LQGI_nonlinear,LQGI - modello non lineare,1,11.9673621,
07_mixsyn_nominal_NL,mixsyn - nominale non lineare,1,11.8395241,
08_hinfsyn_nominal_NL,hinfsyn - nominale non lineare,1,11.8522944,
09_PIDcomp_nominal_NL,hinfstruct PID + compensatore - nominale non lineare,1,11.791838,
10_H2_nominal_NL,H2 - nominale non lineare,1,11.7994187,
11_mixsyn_uncertain_NL,mixsyn - plant incerto non lineare con disturbo,1,12.3199502,
12_mu_uncertain_NL,mu-synthesis - plant incerto non lineare con disturbo,1,12.0778366,
13_H2_uncertain_NL,H2 - plant incerto non lineare con disturbo,1,12.1577913,
14_RAS_inside_mu,mu-synthesis - punto interno alla mappa RAS numerica,1,30.0246878,
15_RAS_outside_mu,mu-synthesis - punto appena esterno alla mappa RAS numerica,1,29.2938479,
16_RAS_inside_H2,H2 - punto interno alla mappa RAS numerica,1,29.941867,
17_RAS_outside_H2,H2 - punto appena esterno alla mappa RAS numerica,1,30.0039006,
